72240 LCH Lake Charles Observations at 12Z 01 Jul 2022

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1015.0     10   22.6   21.6     94  16.29    155      5  294.5  341.2  297.4
 1004.0     99   22.4   21.7     96  16.58    153     13  295.2  342.9  298.1
 1000.0    132   23.0   21.6     92  16.54    153     15  296.1  343.9  299.1
  988.0    238   24.4   20.4     78  15.52    151     24  298.6  343.9  301.4
  980.5    305   24.1   20.2     79  15.49    150     29  299.0  344.3  301.7
  950.0    582   23.0   19.6     81  15.36    159     26  300.5  345.8  303.3
  946.9    610   23.0   19.5     81  15.32    160     26  300.8  346.0  303.6
  930.0    768   23.0   19.0     78  15.11    175     24  302.4  347.2  305.1
  925.0    815   22.6   18.7     79  14.90    180     23  302.4  346.7  305.1
  914.5    914   21.8   18.5     82  14.92    180     23  302.5  346.9  305.2
  882.9   1219   19.2   18.0     93  14.97    185     25  302.9  347.4  305.6
  881.0   1238   19.0   18.0     94  14.97    185     25  302.9  347.5  305.6
  854.0   1506   17.2   15.9     92  13.49    189     27  303.7  344.1  306.2
  850.0   1546   17.0   15.2     89  12.94    190     27  303.9  342.7  306.3
  846.0   1586   17.0   13.9     82  11.94    191     28  304.4  340.2  306.5
  836.0   1688   16.4   15.4     94  13.34    195     29  304.8  344.8  307.2
  826.0   1791   15.6   14.3     92  12.56    199     30  305.0  342.7  307.3
  822.3   1829   15.7   12.6     82  11.30    200     31  305.4  339.6  307.5
  816.0   1894   15.8    9.8     68   9.40    202     30  306.2  334.9  308.0
  810.0   1957   15.6   11.6     77  10.70    204     28  306.7  339.2  308.6
  804.0   2021   15.6   11.0     74  10.35    206     27  307.3  338.9  309.2
  800.0   2063   15.4   12.6     83  11.59    208     26  307.6  342.8  309.7
  793.3   2134   15.1   12.1     82  11.33    210     25  308.0  342.6  310.1
  790.0   2170   15.0   11.9     82  11.20    211     25  308.2  342.4  310.3
  765.2   2438   13.3   10.6     84  10.62    220     22  309.2  341.8  311.1
  737.9   2743   11.3    9.2     87   9.99    235     17  310.2  341.1  312.1
  700.0   3185    8.4    7.1     92   9.12    240     18  311.8  340.2  313.5
  698.0   3209    8.2    7.0     92   9.08    240     17  311.8  340.1  313.5
  676.0   3473    7.0    4.7     85   7.98    243     10  313.3  338.4  314.8
  660.8   3658    5.7    4.0     89   7.78    245      5  313.9  338.5  315.4
  624.0   4126    2.4    2.3     99   7.29    245     10  315.3  338.5  316.7
  613.1   4267    1.8    1.5     98   7.02    245     11  316.2  338.6  317.5
  590.3   4572    0.5   -0.1     96   6.47    260     20  318.1  339.0  319.3
  568.3   4877   -0.9   -1.8     94   5.95    265     16  320.0  339.4  321.1
  568.0   4882   -0.9   -1.8     94   5.94    265     16  320.0  339.4  321.1
  500.0   5890   -6.1   -6.1    100   4.88    190      8  325.5  342.0  326.5
  488.0   6080   -6.9   -7.0     99   4.66    208      9  326.8  342.6  327.7
  487.0   6096   -7.0   -7.1     99   4.64    210      9  326.9  342.6  327.8
  468.1   6401   -8.8   -8.9     99   4.18    195     11  328.4  342.7  329.2
  400.0   7610  -15.9  -16.2     98   2.72    210     10  334.2  343.9  334.8
  399.5   7620  -15.9  -16.3     97   2.70    195     10  334.3  344.0  334.8
  390.0   7801  -16.9  -17.5     95   2.50    222     11  335.4  344.4  335.9
  383.6   7925  -17.8  -18.5     94   2.33    240     11  335.8  344.3  336.3
  368.2   8230  -19.9  -21.0     91   1.95    225     11  336.9  344.1  337.3
  353.5   8534  -22.0  -23.5     88   1.63    240     10  338.0  344.1  338.3
  353.0   8544  -22.1  -23.6     88   1.62    239     10  338.0  344.1  338.4
  348.0   8649  -23.3  -25.9     79   1.34    233     10  337.8  342.8  338.1
  345.0   8712  -24.1  -28.4     68   1.07    228     10  337.6  341.6  337.8
  339.1   8839  -24.9  -28.1     74   1.12    220     10  338.2  342.5  338.4
  334.0   8949  -25.5  -27.9     80   1.16    225     11  338.8  343.2  339.0
  327.0   9102  -26.7  -30.3     72   0.95    233     13  339.2  342.8  339.4
  325.1   9144  -26.8  -30.0     74   0.98    235     13  339.6  343.4  339.9
  321.0   9236  -26.9  -29.3     80   1.06    233     13  340.7  344.8  340.9
  318.0   9304  -27.5  -30.3     77   0.97    232     14  340.8  344.6  341.0
  316.0   9349  -28.7  -34.7     56   0.64    231     14  339.7  342.3  339.9
  313.0   9418  -29.3  -38.3     41   0.45    230     14  339.8  341.6  339.9
  308.0   9533  -30.3  -40.3     37   0.37    228     14  340.0  341.5  340.1
  304.0   9626  -30.7  -37.7     50   0.49    227     15  340.7  342.7  340.8
  300.0   9720  -31.3  -38.3     50   0.47    225     15  341.1  343.0  341.2
  294.0   9862  -32.3  -38.3     55   0.48    225     16  341.7  343.6  341.8
  291.0   9934  -32.7  -36.8     67   0.56    225     16  342.1  344.4  342.2
  289.0   9983  -33.1  -37.3     66   0.54    225     16  342.2  344.4  342.4
  285.0  10080  -34.1  -43.1     40   0.30    225     17  342.2  343.4  342.2
  280.0  10203  -34.9  -42.9     44   0.31    225     17  342.8  344.1  342.8
  275.0  10328  -35.9  -47.9     28   0.18    225     18  343.1  343.9  343.1
  261.7  10668  -38.8  -49.3     32   0.16    225     19  343.7  344.4  343.7
  250.0  10980  -41.5  -50.5     37   0.15    240     15  344.2  344.9  344.3
  247.0  11062  -42.1  -51.1     37   0.14    241     15  344.5  345.1  344.6
  239.2  11278  -43.8  -55.4     27   0.09    245     14  345.1  345.5  345.1
  238.0  11313  -44.1  -56.1     25   0.08    245     14  345.2  345.6  345.2
  228.6  11582  -46.5  -56.6     31   0.08    245     16  345.6  346.0  345.6
  214.0  12020  -50.3  -57.3     43   0.08    224     22  346.2  346.6  346.2
  209.0  12174  -51.5  -57.5     49   0.08    216     25  346.7  347.0  346.7
  208.4  12192  -51.6  -58.1     46   0.07    215     25  346.7  347.1  346.8
  202.0  12396  -53.1  -65.1     22   0.03    219     27  347.5  347.7  347.5
  200.0  12460  -53.5  -66.5     19   0.02    220     28  347.9  348.0  347.9
  198.8  12497  -53.8  -67.2     18   0.02    220     29  348.0  348.1  348.0
  197.0  12557  -54.3  -68.3     16   0.02    219     28  348.1  348.2  348.1
  189.5  12802  -56.3  -69.6     17   0.02    215     22  348.7  348.8  348.7
  177.0  13231  -59.9  -71.9     19   0.01    253     14  349.8  349.8  349.8
  171.8  13411  -61.4  -72.5     22   0.01    270     11  350.3  350.4  350.3
  163.5  13716  -63.8  -73.4     26   0.01    195      2  351.2  351.2  351.2
  150.0  14240  -68.1  -75.1     36   0.01    105      7  352.6  352.6  352.6
  144.0  14484  -70.3  -76.3     41   0.01    130      5  352.9  352.9  352.9
  136.0  14822  -71.9  -76.9     47   0.01    165      2  355.9  355.9  355.9
  134.0  14910  -71.1  -76.1     47   0.01    150      2  358.8  358.9  358.8
  133.4  14935  -71.1  -76.3     46   0.01    145      2  359.2  359.3  359.2
  127.0  15227  -71.3  -78.3     35   0.01     59     13  364.0  364.0  364.0
  126.7  15240  -71.4  -78.3     35   0.01     55     14  364.1  364.1  364.1
  121.0  15512  -72.9  -78.9     40   0.01     65     16  366.1  366.2  366.1
  114.0  15861  -73.1  -81.1     29   0.00     77     18  372.0  372.1  372.1
  113.0  15913  -72.1  -80.1     29   0.01     79     19  374.9  374.9  374.9
  106.0  16289  -72.3  -81.3     25   0.01     93     22  381.4  381.4  381.4
  100.0  16630  -74.5  -84.5     20   0.00    105     24  383.5  383.6  383.5
   96.2  16855  -74.7  -84.7     20   0.00     76     20  387.4  387.4  387.4
   94.1  16984  -71.5  -82.5     18   0.00     59     18  396.1  396.2  396.1
   90.5  17215  -69.7  -81.7     16   0.01     30     14  404.2  404.2  404.2
   87.8  17397  -64.9  -78.9     13   0.01      7     11  417.3  417.4  417.3
   80.0  17963  -65.3  -82.3      8   0.01    297      1  427.7  427.8  427.7
   79.7  17983  -65.4  -82.4      8   0.01    295      1  428.0  428.0  428.0
   75.8  18288  -66.3  -83.8      7   0.00    260      5  432.1  432.2  432.1
   70.0  18770  -67.9  -85.9      6   0.00     25     14  438.8  438.8  438.8
   68.8  18874  -68.5  -86.5      6   0.00     37     15  439.7  439.7  439.7
   68.5  18898  -68.5  -86.5      6   0.00     40     15  440.2  440.3  440.2
   65.2  19202  -68.0  -86.0      6   0.00     20     16  447.7  447.7  447.7
